HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Source,Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),References
3,Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,pulicaria,Daphnia,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,0.19,Other,unknown,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"1294,1295,1296"
5,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,melanogaster,Fruit fly,7.0,7.0,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,0.3,Other,captivity,large,acceptable,0.05,0.04,11.830891476874005,13187.900223285485,308.5922469635628,"2,20,32,47,53,68,69,240,241,242,243,274,602,981,1150"
6,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,mellifera,Honey bee,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,8.0,812,unknown,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"63,407,408,741,805,806,808,812,815,828,830,831,847,848,902,908,1143,1166"
8,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Cardiocondyla,obscurior,Cardiocondyla obscurior,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,0.5,1293,captivity,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,1293
9,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,niger,Black garden ant,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,28.0,411,unknown,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"411,813,814"
10,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,dentata,Pheidole dentata,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,0.4,1156,captivity,medium,questionable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,1156
11,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Bicyclus,anynana,Squinting bush brown,15.0,15.0,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,0.5,811,wild,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"418,809,811"
12,Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,americanus,American lobster,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,100.0,2,wild,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"2,13,594"
15,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,bombina,Firebelly toad,1095.0,1095.0,83.22535211267606,143.75925925925927,190.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,20.0,485,captivity,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"485,525,749"
16,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,orientalis,Oriental firebelly toad,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,148.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,15.8,451,captivity,large,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"451,525,749"
17,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,variegata,Yellow-bellied toad,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,73.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,29.0,Other,captivity,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"24,525,749"
18,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,American toad,910.0,910.0,8.0,143.75925925925927,6000.0,1.4632120743034054,365.0,11498.172832026143,54703.19159259259,21.7667,0.1516869409660107,36.0,525,captivity,medium,acceptable,0.18266046511627906,179.44950000000003,0.00829,21.6,288.0,"37,268,426,525,749"
19,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,boreas,Western toad,1095.0,1095.0,6.0,143.75925925925927,5200.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,11.5,451,captivity,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"437,451,526,749"
20,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,canorus,Yosemite toad,1825.0,1460.0,11.0,143.75925925925927,1750.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,15.0,503,wild,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"503,526,749"
21,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,cognatus,Great plains toad,730.0,730.0,4.0,143.75925925925927,11074.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,10.7,485,captivity,small,questionable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"485,526,749"
22,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,debilis,Green toad,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,1300.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,12.4,451,captivity,small,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"451,749"
23,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,hemiophrys,Canadian toad,730.0,730.0,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,13.3,451,captivity,small,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"451,528"
24,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,punctatus,Red-spotted toad,730.0,730.0,83.22535211267606,143.75925925925927,1500.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,11.3,485,captivity,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"485,749"
25,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,retiformis,Sonoran green toad,1010.4756860857005,916.1596244131456,2.0,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,15.3,451,captivity,small,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"451,749"
26,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,Southern toad,1010.4756860857005,916.1596244131456,3.0,143.75925925925927,3250.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,19.267,0.1516869409660107,10.0,451,captivity,medium,acceptable,0.18266046511627906,179.44950000000003,0.00698,19.2,288.0,"37,451,749"
27,Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,varius,Veragoa stubfoot toad,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,10.0,451,captivity,large,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,451
28,Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,bufo,Common European toad,1460.0,1460.0,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,40.0,451,captivity,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"451,525,526,1134"
29,Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,alvarius,Colorado river toad,1010.4756860857005,1095.0,83.22535211267606,143.75925925925927,7750.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,15.4,485,captivity,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"485,749"
30,Animalia,Chordata,Amphibia,Anura,Bufonidae,Nectophrynoides,asperginis,Kihansi spray toad,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,5.0,990,captivity,medium,questionable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,990
31,Animalia,Chordata,Amphibia,Anura,Bufonidae,Peltophryne,lemur,Ridge-headed toad,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,10.7,451,captivity,small,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,451
32,Animalia,Chordata,Amphibia,Anura,Bufonidae,Peltophryne,peltocephala,Cuban toad,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,20.0,485,captivity,small,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,485
33,Animalia,Chordata,Amphibia,Anura,Bufonidae,Pseudepidalea,viridis,European green toad,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,11.9,451,captivity,large,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,451
34,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhaebo,blombergi,Colombian giant toad,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,28.7,451,captivity,tiny,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,451
35,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,arenarum,Argentine toad,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,25.21314535345513,Other,unknown,small,low,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"451,525"
36,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,marina,Cane toad,365.0,365.0,2.0,143.75925925925927,10000.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,106.25,0.1516869409660107,24.8,485,captivity,large,acceptable,0.18266046511627906,179.44950000000003,0.0303,105.0,293.0,"37,296,485,749"
37,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,schneideri,Eurura toad,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,15.1,451,captivity,small,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,451
38,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,aurita,Common horned frog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,12.8,451,captivity,small,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,451
39,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,calcarata,Colombian horned frog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,15.9,451,captivity,tiny,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,451
40,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,cornuta,Amazonian horned frog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,10.3,485,captivity,small,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"485,749"
41,Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,ornata,Ornate horned frog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,14.7,451,captivity,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,451
42,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,auratus,Green and black dart-poison frog,365.0,365.0,12.0,143.75925925925927,6.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,20.5,448,captivity,large,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"448,749"
43,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,leucomelas,Yellow-banded poison frog,75.0,75.0,12.0,143.75925925925927,7.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,11.5,451,captivity,large,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"451,749"
44,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,tinctorius,Blue poison-dart frog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,25.21314535345513,Other,unknown,large,low,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,451
45,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,histrionica,Kokoe-pa poison dart frog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,9.1,451,captivity,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,451
46,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,pumilio,Strawberry poison frog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,7.5,451,captivity,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,451
47,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Phyllobates,vittatus,Golfo dulce poison-dart frog,304.0,304.0,15.0,143.75925925925927,14.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,25.21314535345513,Other,unknown,medium,low,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,749
48,Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,occipitalis,African tigrine frog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,48.1,0.1516869409660107,10.9,451,captivity,small,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"451,749"
49,Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,blanchardi,Blanchard's cricket frog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,1.0,0.1516869409660107,25.21314535345513,Other,unknown,small,low,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,1096
50,Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,crepitans,Northern cricket frog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,4.9,485,captivity,small,questionable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"485,749,1096"
51,Animalia,Chordata,Amphibia,Anura,Hylidae,Agalychnis,callidryas,Red-eyed tree frog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,25.21314535345513,Other,unknown,large,low,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,485
52,Animalia,Chordata,Amphibia,Anura,Hylidae,Agalychnis,spurrelli,Maroon-eyed tree frog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,5.5,451,captivity,tiny,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,451
53,Animalia,Chordata,Amphibia,Anura,Hylidae,Diaglena,spatulata,Treefrog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,12.8,451,captivity,tiny,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,451
54,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,arborea,European tree frog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,22.0,451,captivity,small,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,451
55,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,chrysoscelis,Cope's gray treefrog,730.0,547.0,21.0,143.75925925925927,35.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,7.8,485,captivity,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"485,528,749"
56,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,cinerea,Green treefrog,730.0,730.0,83.22535211267606,143.75925925925927,1222.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,25.21314535345513,Other,unknown,medium,low,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"485,749"
57,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,gratiosa,Barking treefrog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,2250.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,12.5,451,captivity,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"451,749"
58,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,japonica,Japanese treefrog,1278.0,1278.0,83.22535211267606,143.75925925925927,920.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,8.9,451,captivity,small,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"451,749"
59,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,squirella,Squirrel treefrog,1010.4756860857005,916.1596244131456,1.0,143.75925925925927,1000.0,1.0,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,8.5,485,captivity,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"485,749"
60,Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,versicolor,Gray treefrog,730.0,730.0,4.0,143.75925925925927,1800.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,7.2,0.1516869409660107,7.8,543,captivity,medium,acceptable,0.18266046511627906,179.44950000000003,0.00433,6.97,290.5,"37,528,543,749"
61,Animalia,Chordata,Amphibia,Anura,Hylidae,Hypsiboas,rosenbergi,Rosenberg's treefrog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,775.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,25.21314535345513,Other,unknown,small,low,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"485,749"
62,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,caerulea,Australian green treefrog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,1100.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,20.0,451,captivity,large,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"451,749"
63,Animalia,Chordata,Amphibia,Anura,Hylidae,Osteopilus,septentrionalis,Cuban treefrog,255.0,120.0,1.0,143.75925925925927,1500.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,12.9,451,captivity,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"451,749"
64,Animalia,Chordata,Amphibia,Anura,Hylidae,Osteopilus,vastus,Hispaniola giant treefrog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,6.6,451,captivity,small,questionable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,451
65,Animalia,Chordata,Amphibia,Anura,Hylidae,Pachymedusa,dacnicolor,Mexican leaf frog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,8.7,451,captivity,small,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,451
66,Animalia,Chordata,Amphibia,Anura,Hylidae,Phyllomedusa,bicolor,Waxy treefrog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,10.3,451,captivity,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,451
67,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris,crucifer,Spring peeper,912.0,912.0,10.0,143.75925925925927,700.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,4.0,0.1516869409660107,25.21314535345513,Other,unknown,small,low,0.18266046511627906,179.44950000000003,0.00105,0.9,292.0,"37,451,525,528,749"
68,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudis,paradoxa,Paradox frog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,11.0,451,captivity,small,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,451
69,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,baudinii,Mexican treefrog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,2480.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,6.3,485,captivity,small,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"485,749"
70,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,fodiens,Lowland burrowing treefrog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,5.1,485,captivity,small,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,485
71,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,phaeota,Masked treefrog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,2000.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,4.1,485,captivity,small,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"485,749"
72,Animalia,Chordata,Amphibia,Anura,Hylidae,Trachycephalus,venulosus,Marbled treefrog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,10.5,451,captivity,small,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,451
73,Animalia,Chordata,Amphibia,Anura,Leiopelmatidae,Ascaphus,truei,Coastal tailed frog,1010.4756860857005,916.1596244131456,32.0,143.75925925925927,62.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,14.0,525,wild,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"525,749"
74,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,pentadactylus,Tungara frog,1010.4756860857005,916.1596244131456,83.22535211267606,143.75925925925927,145879.21867965368,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,18.8,451,captivity,medium,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,451
75,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,aurantiaca,Golden mantella,1010.4756860857005,916.1596244131456,14.0,143.75925925925927,40.0,1.4632120743034054,386.7562254259502,11498.172832026143,54703.19159259259,218070.29300742116,0.1516869409660107,10.9,451,captivity,large,acceptable,0.18266046511627906,179.44950000000003,11.830891476874005,13187.900223285485,308.5922469635628,"451,749"
